Ampere - Victor Hugo.;105000
Bellecour;105002
Brotteaux;105004
Cordeliers;105021
Cuire;105022
Cusset;105023
Flachet;105024
Gorge de Loup;105040
Grange Blanche;105041
Gratte Ciel;105042
Pl.Guichard Bourse du Travail;105043
Guillotiere;105044
Henon;105045
Hotel de Ville - L.Pradel;105046
Laennec;105062
Massena;105081
Mermoz - Pinel;105082
Monplaisir Lumiere;105083
Parilly;105084
Perrache;105085
Sans Souci;105091
Saxe - Gambetta;105092
Valmy;105094
Vieux Lyon - Cat. St Jean;105095
Bonnevay;105101
Charpennes Charles Hernu;105102
Gare de Vaise;105103
Gare de Venissieux;105104
Jean Mace;105160
Garibaldi;105181
Foch;105182
Republique Villeurbanne;105183
Stade de Gerland;105200
Debourg;105220
Place Jean Jaures;105221
Croix Paquet;105222
Croix-Rousse;105223
Part-Dieu;105520
Vaulx-en-Velin La Soie;105564
Gare d'Oullins;105904
